"year","month","tmax","tmin","prcp","snow","dsnd","htdd","cldd"
"1976","01",-4.7,-15.9,99.85,502.5,31,886.9,0
"1976","02",2.2,-9.2,67.45,281.5,29,634,0
"1976","03",5.9,-5.8,59.7,640.5,29,567.7,0
"1976","04",15.1,2.5,73.7,0,0,294.7,10.1
"1976","05",19.2,6.5,134.35,0,0,173.2,3.4
"1976","06",27,15,52.65,0,0,22.2,101.1
"1976","07",25.3,14.5,135.5,0,0,11.7,59.6
"1976","08",24.7,14.2,73.3,0,0,28.6,62.1
"1976","09",20.35,9.1,89.55,0,0,110.8,4.4
"1976","10",12.35,3.1,118.3,0,0,329.6,0.4
"1976","11",4.2,-2.5,46.45,107,6,524.7,0
"1976","12",-2.3,-12.7,64.7,333,20,801.2,0
"1977","01",-5.2,-14.6,45.7,893,31,876,0
"1977","02",-1.2,-9.8,51.2,276,28,666.7,0
"1977","03",8.05,-2.65,124.15,512,30,484.3,0
"1977","04",13.7,0.6,87,51.5,1,336.4,1.1
"1977","05",22.45,7.3,33.65,0,0,135.25,27.75
"1977","06",22.4,12.3,111.1,0,0,57.4,26.8
"1977","07",26.3,15.2,55.8,0,0,11.4,86.1
"1977","08",25,14.9,89.85,0,0,21.3,72.2
"1977","09",19.1,10.5,152.2,0,0,123.2,17
"1977","10",13.3,4.5,173.85,0,0,292.1,0
"1977","11",7.6,1,74.65,25,1.5,420.7,0
"1977","12",-1.4,-8,122.25,680.5,25,713.4,0
"1978","01",-3.2,-11.6,173.7,771.5,31,798.7,0
"1978","02",-3,-12.9,26.95,343,28,736.2,0
"1978","03",3.1,-6.8,52.95,324,31,624.5,0
"1978","04",9.85,-0.2,75.7,69.5,2,406.1,0
"1978","05",21.1,8.4,79.7,0,0,137.8,25.9
"1978","06",24,12.4,114,0,0,39.2,35.3
"1978","07",26.9,15.2,81.1,0,0,13.7,98.4
"1978","08",24.9,14.9,70.2,0,0,25.6,75.4
"1978","09",19.3,8,30.75,0,0,145.8,5.6
"1978","10",12.9,3.3,88.9,0,0,317.1,0
"1978","11",7.3,-2,40.4,171,10,471.1,0
"1978","12",0.1,-8.4,77.25,619,31,697.1,0
"1979","01",-2.4,-9.6,188,1059,31,754.3,0
"1979","02",-5.4,-14.5,57.35,178,28,791.1,0
"1979","03",6.7,-2.6,62.25,42,25,505,0
"1979","04",11.8,1.4,84.5,110,4,351.8,0
"1979","05",18.8,8.9,125.4,0,0,146.1,7.8
"1979","06",24.8,12.2,20,0,0,32.4,37.6
"1979","07",26.9,16.7,90.75,0,0,13.1,120.7
"1979","08",23.8,14.7,119.95,0,0,33.3,62.4
"1979","09",21,9,78.75,0,0,112.15,14.05
"1979","10",12.4,5,121.4,7,0,299.5,2.2
"1979","11",9.5,1.9,69.7,1.5,0,378,0
"1979","12",1.9,-6,59.15,55,3,633,0
"1980","01",-1.2,-9.8,19.9,127.5,9,738.1,0
"1980","02",-2.2,-11.6,14.5,233.5,29,732.5,0
"1980","03",4.8,-5.9,97.45,278.5,22,585.1,0
"1980","04",12.3,1.3,103.55,1.5,0,346.1,0
